"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"56","Alternative","Blood Orange","You're Not Good Enough","7vcNp4cj4uF4AyX5aKY4Ps",59,0.189,0.74,261360,0.798,0.00128,"C",0.305,-6.55,"Major",0.146,119.964,"4/4",0.571
"57","Alternative","The Raconteurs","Steady, As She Goes","19iqWNzp5LwEdvntpEK8MP",67,0.0132,0.524,215267,0.578,0.00921,"A",0.108,-4.563,"Major",0.12,123.669,"4/4",0.537
"58","Alternative","Anthem Lights","It Is Well With My Soul","3VgFcUGnIykIeCZ67X2mNk",43,0.882,0.411,203213,0.209,0,"B",0.103,-6.774,"Major",0.0304,91.634,"4/4",0.2
"59","Alternative","A Perfect Circle","Thinking Of You","3TBloc9IQiHGWkzOSPoUA2",43,6.33e-05,0.562,274573,0.872,0.451,"F#",0.167,-7.202,"Minor",0.0551,150.206,"4/4",0.646
"60","Alternative","Escape the Fate","Gorgeous Nightmare","3yrxwUdln8yhqeoyZQ8BGd",39,0.00388,0.592,196080,0.856,0,"C",0.236,-3.761,"Minor",0.0308,135.044,"4/4",0.692
"61","Alternative","Duckwrth","MICHUUL.","3iGNoYKIabGohB9A0C7dKU",60,0.371,0.838,186200,0.677,5.09e-06,"C#",0.173,-6.262,"Major",0.143,118.019,"4/4",0.739
"62","Alternative","Joji","I Don't Wanna Waste My Time (SwuM Remix)","4H3kVzEBywafoCOq1DomD7",46,0.787,0.546,216929,0.72,0.00339,"G#",0.103,-6.628,"Major",0.0365,118.999,"4/4",0.077
"63","Alternative","Passion","Worthy Of Your Name - Live","1hQEZ8Bm6cXO1mZ7fXZqkU",46,0.148,0.313,420827,0.665,0,"C",0.114,-6.566,"Major",0.0337,80.825,"4/4",0.189
"64","Alternative","Mac Ayres","Better","2W0kuQdIlmpq6iiY1f0OLp",51,0.656,0.818,245078,0.54,8.92e-05,"F#",0.0745,-7.336,"Minor",0.0552,96.487,"4/4",0.813
"65","Alternative","The Menzingers","Your Wild Years","2cABtHp3hOF7u3uroljp5m",45,2.16e-05,0.398,234546,0.968,0.00569,"C#",0.105,-4.282,"Major",0.035,156.427,"4/4",0.791
"66","Alternative","The Black Keys","Sister","5LCuFER5mMzL0fGNpClksf",53,0.00191,0.757,205187,0.661,5.77e-05,"D",0.141,-5.908,"Major",0.0291,111.64,"4/4",0.617
"67","Alternative","The 1975","Chocolate","44Ljlpy44mHvLJxcYUvTK0",62,0.00391,0.591,224640,0.94,0,"B",0.383,-4.341,"Major",0.0522,100.043,"4/4",0.676
"68","Alternative","Skillet","Rise","1W0YS64vF9qgMVLuN76aqg",58,0.0127,0.57,260787,0.921,0,"E",0.818,-3.892,"Minor",0.0724,87.938,"4/4",0.381
"69","Alternative","Rise Against","The Dirt Whispered","2osuq0i7ACgHUO2SmZhx2H",44,0.000224,0.337,189080,0.936,3.17e-05,"C#",0.144,-3.417,"Major",0.0426,104.915,"4/4",0.742
"70","Alternative","Basement","Promise Everything","1KdeXVG6x4MsjbAnjiAzbT",43,2.67e-05,0.3,157080,0.957,1.58e-05,"E",0.266,-5.993,"Major",0.112,76.256,"4/4",0.352
"71","Alternative","Nirvana","The Man Who Sold The World - MTV Unplugged","1XnPVbzLhuBv0sHaCTgyoi",53,0.379,0.476,227467,0.706,0.000242,"C#",0.877,-7.839,"Minor",0.0289,114.858,"4/4",0.368
"72","Alternative","Nirvana","Here She Comes Now - Smart Sessions","1JQ2g36EDQB3RAkCEhQ6dE",39,0.0449,0.351,299853,0.701,0.0476,"C",0.124,-8.088,"Major",0.0306,118.505,"4/4",0.137
"73","Alternative","Otherwise","Die for You","2LhOhOfRHHPZ1K8IqBAr3E",45,0.00264,0.575,191787,0.96,5.88e-06,"G#",0.198,-3.388,"Major",0.0389,96.016,"4/4",0.702
"74","Alternative","Deftones","Tempest","1parffUcsk8pfGbyMtGnmW",47,0.00148,0.343,365480,0.798,0.000344,"A",0.11,-5.962,"Minor",0.0545,147.769,"4/4",0.0549
"75","Alternative","DON BROCO","Greatness","4bqut95mGl7vQJCRBH65IJ",44,0.0344,0.712,201653,0.838,6.29e-05,"A",0.0586,-4.559,"Minor",0.0864,113.738,"4/4",0.522
"76","Alternative","Suicidal Tendencies","Institutionalized","7G83ZwD2msTtFaBQExc8QB",54,0.0404,0.358,229960,0.804,0,"C",0.111,-8.534,"Major",0.302,91.842,"3/4",0.625
"77","Alternative","DaniLeigh","Easy - Remix","4CMrdHWqic0usIZfTrKoI3",72,0.195,0.799,186587,0.301,0,"G",0.0816,-11.361,"Major",0.185,100.026,"4/4",0.511
"78","Alternative","Red Hot Chili Peppers","Hey","0xAjq4KAQdJvUyCM7fFZ9K",52,0.309,0.815,339533,0.577,1.02e-05,"G#",0.101,-6.253,"Major",0.0369,122.61,"4/4",0.737
"79","Alternative","Shinedown","How Did You Love","2le5xHvcWF8PDp608d4L8D",57,6.86e-05,0.331,187627,0.75,1.21e-06,"F",0.0945,-5.202,"Major",0.0436,185.97,"4/4",0.26
"80","Alternative","The Story So Far","Line","3nOanVbSDTety25Gdo3Xim",44,0.047,0.55,157053,0.875,0.875,"G#",0.109,-8.255,"Major",0.0419,102.97,"4/4",0.521
"81","Alternative","Five Finger Death Punch","Fire in the Hole","1dbhsrORJ945th3EJ1xLKU",50,3.13e-05,0.538,176544,0.994,0.00129,"B",0.322,-3.603,"Major",0.0938,108.02,"3/4",0.279
"82","Alternative","Primal Scream","Rocks","2MjYMvn7PlS4HAE1EtP7BJ",41,0.000183,0.635,217373,0.754,0.001,"G",0.0411,-7.703,"Major",0.035,127.717,"4/4",0.96
"83","Alternative","Matthew West","When I Say I Do","0b99xsUKkETGwZGzpX987r",44,0.77,0.478,246000,0.433,0,"B",0.219,-7.16,"Major",0.0328,147.918,"4/4",0.31
"84","Alternative","Cake","War Pigs","5Cg6S5BXG6lXqjijSK9zFh",51,0.00698,0.581,234013,0.566,2.93e-06,"F",0.0968,-8.169,"Minor",0.0357,83.904,"4/4",0.449
